Tensao,Corrente
11.67,1154.39
11.64,1203.84
11.67,1183.12
11.64,1180.14
11.67,1156.98
11.64,1157.63
11.64,1197.11
11.64,1195.12
11.64,1198.32
11.64,1202.20
11.62,1150.23
11.67,1241.16
11.67,1235.71
11.67,1167.01
11.67,1158.89
11.67,1184.38
11.67,1133.73
11.64,1131.42
11.67,1140.81
11.67,1142.00
11.67,1180.25
11.67,1160.40
11.64,1142.74
11.67,1145.24
11.67,1151.52
11.67,1141.75
11.59,1179.96
11.62,1378.11
11.67,1156.18
11.59,1209.01
11.67,1257.35
11.64,1253.90
11.67,1238.84
11.64,1198.66
11.67,1142.65
11.64,1201.78
11.64,1186.53
11.64,1347.22
11.64,1282.30
11.64,1217.82
11.54,1395.29
11.64,1326.74
11.54,1313.44
11.67,1286.59
11.64,1225.63
11.64,1327.83
11.67,1138.16
11.67,1259.40
11.64,1191.02
11.64,1146.29
11.64,1273.35
11.57,1218.61
11.64,1158.48
11.64,1324.42
11.67,1269.45
11.64,1296.82
11.64,1390.07
11.64,1293.24
11.62,1249.04
11.64,1427.53
11.62,1232.01
11.64,1397.53
11.54,1362.06
11.64,1357.03
11.67,1230.88
11.57,1174.27
11.67,1177.72
11.67,1189.11
11.67,1169.82
11.64,1172.11
11.64,1145.69
11.64,1180.55
11.67,1142.87
11.67,1137.18
11.64,1166.38
11.64,1195.77
11.62,1195.09
11.64,1257.89
11.49,1591.80
11.62,1415.79
11.57,1526.71
11.62,1287.00
11.64,1462.80
11.64,1530.01
11.57,1472.16
11.62,1426.76
11.64,1243.13
11.52,1235.70
11.64,1304.30
11.59,1315.66
11.62,1322.41
11.64,1208.26
11.64,1166.44
11.67,1164.59
11.64,1127.99
11.64,1128.49
11.64,1161.69
11.64,1352.87
11.49,1315.65
11.64,1214.16
11.64,1177.40
11.64,1130.95
11.64,1149.46
11.64,1172.36
11.64,1127.98
11.67,1152.87
11.67,1131.71
11.64,1125.59
11.67,1142.23
11.64,1162.49
11.64,1134.98
11.62,1152.23
11.67,1126.48
11.64,1116.26
11.64,1145.09
11.64,1155.98
11.64,1146.84
11.64,1135.41
11.67,1138.51
11.62,1123.77
11.64,1147.90
11.67,1164.52
11.64,1162.40
11.62,1155.29
11.64,1113.04
11.64,1128.71
